node_number	id	section_path	derivation_order	main_directory	main_artifact	main_state	supplement_directory	supplement_artifact	supplement_state	result
107	P038	6.1.1.1	107	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff/107_P038__gns_existence_and_representation_handoff	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff/107_P038__gns_existence_and_representation_handoff/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff/107_P038__gns_existence_and_representation_handoff	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff/107_P038__gns_existence_and_representation_handoff/DOCUMENTATION.md	PLANNED	PASS
108	P039	6.1.1.2	108	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff/108_P039__araki_woods_realization_and_spectral_identification	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff/108_P039__araki_woods_realization_and_spectral_identification/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff/108_P039__araki_woods_realization_and_spectral_identification	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/106_C057__gns_araki_woods_spectral_handoff/108_P039__araki_woods_realization_and_spectral_identification/DOCUMENTATION.md	PLANNED	PASS
109	C058	6.1.2	109	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/DOCUMENTATION.md	PLANNED	PASS
110	P040	6.1.2.1	110	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/110_P040__local_factoriality_and_center_triviality	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/110_P040__local_factoriality_and_center_triviality/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/110_P040__local_factoriality_and_center_triviality	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/110_P040__local_factoriality_and_center_triviality/DOCUMENTATION.md	PLANNED	PASS
111	P041	6.1.2.2	111	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/111_P041__local_hyperfiniteness	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/111_P041__local_hyperfiniteness/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/111_P041__local_hyperfiniteness	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/111_P041__local_hyperfiniteness/DOCUMENTATION.md	PLANNED	PASS
112	P042	6.1.2.3	112	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/112_P042__type_iii1_ratio_set_classification	derivation/paper/main/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/112_P042__type_iii1_ratio_set_classification/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/112_P042__type_iii1_ratio_set_classification	derivation/supplement/sections/06_local_operator_algebraic_specialization/01_gns_araki_woods_representation_and_type_classification/109_C058__local_hyperfinite_type_iii_factor/112_P042__type_iii1_ratio_set_classification/DOCUMENTATION.md	PLANNED	PASS
113	C059	6.2.1	113	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/113_C059__finite_active_interface_taxonomy_for_descendant_cones	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/113_C059__finite_active_interface_taxonomy_for_descendant_cones/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/113_C059__finite_active_interface_taxonomy_for_descendant_cones	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/113_C059__finite_active_interface_taxonomy_for_descendant_cones/DOCUMENTATION.md	PLANNED	PASS
114	P043	6.2.1.1	114	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/113_C059__finite_active_interface_taxonomy_for_descendant_cones/114_P043__finite_interface_taxonomy_exhaustivity_and_disjointness	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/113_C059__finite_active_interface_taxonomy_for_descendant_cones/114_P043__finite_interface_taxonomy_exhaustivity_and_disjointness/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/113_C059__finite_active_interface_taxonomy_for_descendant_cones/114_P043__finite_interface_taxonomy_exhaustivity_and_disjointness	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/113_C059__finite_active_interface_taxonomy_for_descendant_cones/114_P043__finite_interface_taxonomy_exhaustivity_and_disjointness/DOCUMENTATION.md	PLANNED	PASS
115	C060	6.2.2	115	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain/DOCUMENTATION.md	PLANNED	PASS
116	P044	6.2.2.1	116	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain/116_P044__one_particle_complement_tensor_factorization	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain/116_P044__one_particle_complement_tensor_factorization/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain/116_P044__one_particle_complement_tensor_factorization	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain/116_P044__one_particle_complement_tensor_factorization/DOCUMENTATION.md	PLANNED	PASS
117	P045	6.2.2.2	117	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain/117_P045__type_i_interpolant_and_exact_iii1_i_iii1_inclusion	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain/117_P045__type_i_interpolant_and_exact_iii1_i_iii1_inclusion/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain/117_P045__type_i_interpolant_and_exact_iii1_i_iii1_inclusion	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/115_C060__exact_complement_split_chain/117_P045__type_i_interpolant_and_exact_iii1_i_iii1_inclusion/DOCUMENTATION.md	PLANNED	PASS
118	C061	6.2.3	118	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/118_C061__dual_complement_envelope_isotony	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/118_C061__dual_complement_envelope_isotony/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/118_C061__dual_complement_envelope_isotony	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/118_C061__dual_complement_envelope_isotony/DOCUMENTATION.md	PLANNED	PASS
119	P046	6.2.3.1	119	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/118_C061__dual_complement_envelope_isotony/119_P046__exterior_antitony_and_commutant_reversal_isotony	derivation/paper/main/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/118_C061__dual_complement_envelope_isotony/119_P046__exterior_antitony_and_commutant_reversal_isotony/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/118_C061__dual_complement_envelope_isotony/119_P046__exterior_antitony_and_commutant_reversal_isotony	derivation/supplement/sections/06_local_operator_algebraic_specialization/02_complement_factorization_finite_interface_and_split_structure/118_C061__dual_complement_envelope_isotony/119_P046__exterior_antitony_and_commutant_reversal_isotony/DOCUMENTATION.md	PLANNED	PASS
120	O090	6.3.1	120	derivation/paper/main/sections/06_local_operator_algebraic_specialization/03_rejected_completion_identifications/120_O090__counting_terminal_fock_identification_obstruction	derivation/paper/main/sections/06_local_operator_algebraic_specialization/03_rejected_completion_identifications/120_O090__counting_terminal_fock_identification_obstruction/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/03_rejected_completion_identifications/120_O090__counting_terminal_fock_identification_obstruction	derivation/supplement/sections/06_local_operator_algebraic_specialization/03_rejected_completion_identifications/120_O090__counting_terminal_fock_identification_obstruction/DOCUMENTATION.md	PLANNED	PASS
121	O091	6.3.2	121	derivation/paper/main/sections/06_local_operator_algebraic_specialization/03_rejected_completion_identifications/121_O091__ontic_corner_schur_inductive_limit_obstruction	derivation/paper/main/sections/06_local_operator_algebraic_specialization/03_rejected_completion_identifications/121_O091__ontic_corner_schur_inductive_limit_obstruction/SECTION.tex	PLANNED	derivation/supplement/sections/06_local_operator_algebraic_specialization/03_rejected_completion_identifications/121_O091__ontic_corner_schur_inductive_limit_obstruction	derivation/supplement/sections/06_local_operator_algebraic_specialization/03_rejected_completion_identifications/121_O091__ontic_corner_schur_inductive_limit_obstruction/DOCUMENTATION.md	PLANNED	PASS
122	O071	7.1.1	122	derivation/paper/main/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/122_O071__geometry_interface_canonicity_obstruction	derivation/paper/main/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/122_O071__geometry_interface_canonicity_obstruction/SECTION.tex	PLANNED	derivation/supplement/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/122_O071__geometry_interface_canonicity_obstruction	derivation/supplement/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/122_O071__geometry_interface_canonicity_obstruction/DOCUMENTATION.md	PLANNED	PASS
123	M070	7.1.2	123	derivation/paper/main/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector	derivation/paper/main/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector/SECTION.tex	PLANNED	derivation/supplement/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector	derivation/supplement/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector/DOCUMENTATION.md	PLANNED	PASS
124	P047	7.1.2.1	124	derivation/paper/main/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector/124_P047__canonical_geometry_interface_selector_existence	derivation/paper/main/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector/124_P047__canonical_geometry_interface_selector_existence/SECTION.tex	PLANNED	derivation/supplement/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector/124_P047__canonical_geometry_interface_selector_existence	derivation/supplement/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector/124_P047__canonical_geometry_interface_selector_existence/DOCUMENTATION.md	PLANNED	PASS
125	P048	7.1.2.2	125	derivation/paper/main/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector/125_P048__geometry_selector_uniqueness_equivariance_and_naturality	derivation/paper/main/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector/125_P048__geometry_selector_uniqueness_equivariance_and_naturality/SECTION.tex	PLANNED	derivation/supplement/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector/125_P048__geometry_selector_uniqueness_equivariance_and_naturality	derivation/supplement/sections/07_emergent_geometry_and_hodge_hk_branch/01_geometry_selector_obstruction_and_canonical_selector/123_M070__canonical_emergent_interface_geometry_selector/125_P048__geometry_selector_uniqueness_equivariance_and_naturality/DOCUMENTATION.md	PLANNED	PASS
126	B071	7.2.1	126	derivation/paper/main/sections/07_emergent_geometry_and_hodge_hk_branch/02_hodge_hk_specialization_branch/126_B071__hodge_geometric_locality_hk_geometry_branch	derivation/paper/main/sections/07_emergent_geometry_and_hodge_hk_branch/02_hodge_hk_specialization_branch/126_B071__hodge_geometric_locality_hk_geometry_branch/SECTION.tex	PLANNED	derivation/supplement/sections/07_emergent_geometry_and_hodge_hk_branch/02_hodge_hk_specialization_branch/126_B071__hodge_geometric_locality_hk_geometry_branch	derivation/supplement/sections/07_emergent_geometry_and_hodge_hk_branch/02_hodge_hk_specialization_branch/126_B071__hodge_geometric_locality_hk_geometry_branch/DOCUMENTATION.md	PLANNED	PASS
127	M080	8.1.1	127	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o/DOCUMENTATION.md	PLANNED	PASS
128	P049	8.1.1.1	128	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o/128_P049__local_cyclicity_of_the_gns_vector	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o/128_P049__local_cyclicity_of_the_gns_vector/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o/128_P049__local_cyclicity_of_the_gns_vector	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o/128_P049__local_cyclicity_of_the_gns_vector/DOCUMENTATION.md	PLANNED	PASS
129	P050	8.1.1.2	129	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o/129_P050__local_separatingness_of_the_gns_vector	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o/129_P050__local_separatingness_of_the_gns_vector/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o/129_P050__local_separatingness_of_the_gns_vector	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/127_M080__local_standardness_of_m_o/129_P050__local_separatingness_of_the_gns_vector/DOCUMENTATION.md	PLANNED	PASS
130	M082	8.1.2	130	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow/DOCUMENTATION.md	PLANNED	PASS
131	P051	8.1.2.1	131	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow/131_P051__tomita_operator_closure_and_polar_decomposition	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow/131_P051__tomita_operator_closure_and_polar_decomposition/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow/131_P051__tomita_operator_closure_and_polar_decomposition	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow/131_P051__tomita_operator_closure_and_polar_decomposition/DOCUMENTATION.md	PLANNED	PASS
132	P052	8.1.2.2	132	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow/132_P052__local_modular_automorphism_group_and_net_compatibility	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow/132_P052__local_modular_automorphism_group_and_net_compatibility/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow/132_P052__local_modular_automorphism_group_and_net_compatibility	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/130_M082__derived_local_modular_flow/132_P052__local_modular_automorphism_group_and_net_compatibility/DOCUMENTATION.md	PLANNED	PASS
133	O081	8.1.3	133	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/133_O081__global_native_modular_conjugation_lift_obstruction	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/133_O081__global_native_modular_conjugation_lift_obstruction/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/133_O081__global_native_modular_conjugation_lift_obstruction	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/133_O081__global_native_modular_conjugation_lift_obstruction/DOCUMENTATION.md	PLANNED	PASS
134	O092	8.1.4	134	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/134_O092__k_selected_polarization_uniqueness_compatibility_obstruction	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/134_O092__k_selected_polarization_uniqueness_compatibility_obstruction/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/134_O092__k_selected_polarization_uniqueness_compatibility_obstruction	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/134_O092__k_selected_polarization_uniqueness_compatibility_obstruction/DOCUMENTATION.md	PLANNED	PASS
135	M086	8.1.5	135	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action/DOCUMENTATION.md	PLANNED	PASS
136	P053	8.1.5.1	136	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action/136_P053__native_provenance_action_realization_and_intertwining	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action/136_P053__native_provenance_action_realization_and_intertwining/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action/136_P053__native_provenance_action_realization_and_intertwining	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action/136_P053__native_provenance_action_realization_and_intertwining/DOCUMENTATION.md	PLANNED	PASS
137	P054	8.1.5.2	137	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action/137_P054__native_modular_action_canonicity_and_choice_independence	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action/137_P054__native_modular_action_canonicity_and_choice_independence/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action/137_P054__native_modular_action_canonicity_and_choice_independence	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/01_standardness_modular_flow_and_native_provenance_action/135_M086__native_provenance_realization_of_the_local_modular_action/137_P054__native_modular_action_canonicity_and_choice_independence/DOCUMENTATION.md	PLANNED	PASS
138	M083	8.2.1	138	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/DOCUMENTATION.md	PLANNED	PASS
139	P055	8.2.1.1	139	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/139_P055__covariance_automorphism_group	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/139_P055__covariance_automorphism_group/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/139_P055__covariance_automorphism_group	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/139_P055__covariance_automorphism_group/DOCUMENTATION.md	PLANNED	PASS
140	P056	8.2.1.2	140	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/140_P056__positive_generator_of_the_covariance_group	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/140_P056__positive_generator_of_the_covariance_group/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/140_P056__positive_generator_of_the_covariance_group	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/140_P056__positive_generator_of_the_covariance_group/DOCUMENTATION.md	PLANNED	PASS
141	P057	8.2.1.3	141	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/141_P057__spectrum_condition	derivation/paper/main/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/141_P057__spectrum_condition/SECTION.tex	PLANNED	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/141_P057__spectrum_condition	derivation/supplement/sections/08_modular_aqft_specialization_and_purity_gates/02_aqft_covariance_and_spectrum/138_M083__covariance_group_and_spectrum_condition/141_P057__spectrum_condition/DOCUMENTATION.md	PLANNED	PASS
